FASTQ,CT
LIB047627_TRA00195767_S19_L001_R2.fastq,HMEC 6.1
LIB047627_TRA00195767_S19_L001.fastq,HMEC 6.1
LIB047627_TRA00195768_S20_L001_R1.fastq,HMEC 6.1
LIB047627_TRA00195768_S20_L001_R2.fastq,HMEC 6.1
LIB047627_TRA00195768_S20_L001.fastq,HMEC 6.1
LIB047627_TRA00195769_S21_L001_R1.fastq,HMEC 6.1
LIB047627_TRA00195769_S21_L001_R2.fastq,HMEC 6.1
LIB047627_TRA00195769_S21_L001.fastq,HMEC 6.1
LIB047627_TRA00195770_S22_L001_R1.fastq,HMEC 6.3
LIB047627_TRA00195770_S22_L001_R2.fastq,HMEC 6.3
LIB047627_TRA00195770_S22_L001.fastq,HMEC 6.3
LIB047627_TRA00195771_S23_L001_R1.fastq,HMEC 6.3
LIB047627_TRA00195771_S23_L001_R2.fastq,HMEC 6.3
LIB047627_TRA00195771_S23_L001.fastq,HMEC 6.3
LIB047627_TRA00195772_S24_L001_R1.fastq,HMEC 6.3
LIB047627_TRA00195772_S24_L001_R2.fastq,HMEC 6.3
LIB047627_TRA00195772_S24_L001.fastq,HMEC 6.3
LIB047627_TRA00195773_S25_L001_R1.fastq,NK 5.4
LIB047627_TRA00195773_S25_L001_R2.fastq,NK 5.4
LIB047627_TRA00195773_S25_L001.fastq,NK 5.4
LIB047627_TRA00195774_S26_L001_R1.fastq,NK 5.4
LIB047627_TRA00195774_S26_L001_R2.fastq,NK 5.4
LIB047627_TRA00195774_S26_L001.fastq,NK 5.4
LIB047627_TRA00195775_S27_L001_R1.fastq,
LIB047627_TRA00195775_S27_L001_R2.fastq,
LIB047627_TRA00195775_S27_L001.fastq,
LIB047627_TRA00195776_S28_L001_R1.fastq,
LIB047627_TRA00195776_S28_L001_R2.fastq,
LIB047627_TRA00195776_S28_L001.fastq,
LIB047627_TRA00195777_S29_L001_R1.fastq,Mel L
LIB047627_TRA00195777_S29_L001_R2.fastq,Mel L
LIB047627_TRA00195777_S29_L001.fastq,Mel L
LIB047627_TRA00195778_S30_L001_R1.fastq,Mel L
LIB047627_TRA00195778_S30_L001_R2.fastq,Mel L
LIB047627_TRA00195778_S30_L001.fastq,Mel L
LIB047627_TRA00195779_S31_L001_R1.fastq,Mel L
LIB047627_TRA00195779_S31_L001_R2.fastq,Mel L
LIB047627_TRA00195779_S31_L001.fastq,Mel L
LIB047627_TRA00195780_S32_L001_R1.fastq,Mel H2
LIB047627_TRA00195780_S32_L001_R2.fastq,Mel H2
LIB047627_TRA00195780_S32_L001.fastq,Mel H2
LIB047628_TRA00195781_S33_L002_R1.fastq,
LIB047628_TRA00195781_S33_L002_R2.fastq,
LIB047628_TRA00195781_S33_L002.fastq,
LIB047628_TRA00195782_S34_L002_R1.fastq,
LIB047628_TRA00195782_S34_L002_R2.fastq,
LIB047628_TRA00195782_S34_L002.fastq,
LIB047628_TRA00195783_S35_L002_R1.fastq,
LIB047628_TRA00195783_S35_L002_R2.fastq,
LIB047628_TRA00195783_S35_L002.fastq,
LIB047628_TRA00195784_S36_L002_R1.fastq,NK 5.5
LIB047628_TRA00195784_S36_L002_R2.fastq,NK 5.5
LIB047628_TRA00195784_S36_L002.fastq,NK 5.5
LIB047628_TRA00195785_S37_L002_R1.fastq,NK 5.5
LIB047628_TRA00195785_S37_L002_R2.fastq,NK 5.5
LIB047628_TRA00195785_S37_L002.fastq,NK 5.5
LIB047628_TRA00195786_S38_L002_R1.fastq,NK 5.5
LIB047628_TRA00195786_S38_L002_R2.fastq,NK 5.5
LIB047628_TRA00195786_S38_L002.fastq,NK 5.5
LIB047628_TRA00195787_S39_L002_R1.fastq,NK 6.2
LIB047628_TRA00195787_S39_L002_R2.fastq,NK 6.2
LIB047628_TRA00195787_S39_L002.fastq,NK 6.2
LIB047628_TRA00195788_S40_L002_R1.fastq,NK 6.2
LIB047628_TRA00195788_S40_L002_R2.fastq,NK 6.2
LIB047628_TRA00195788_S40_L002.fastq,NK 6.2
LIB047628_TRA00195789_S41_L002_R1.fastq,NK 6.2
LIB047628_TRA00195789_S41_L002_R2.fastq,NK 6.2
LIB047628_TRA00195789_S41_L002.fastq,NK 6.2
LIB047628_TRA00195790_S42_L002_R1.fastq,NK 5.1
LIB047628_TRA00195790_S42_L002_R2.fastq,NK 5.1
LIB047628_TRA00195790_S42_L002.fastq,NK 5.1
LIB047628_TRA00195791_S43_L002_R1.fastq,NK 5.1
LIB047628_TRA00195791_S43_L002_R2.fastq,NK 5.1
LIB047628_TRA00195791_S43_L002.fastq,NK 5.1
LIB047628_TRA00195792_S44_L002_R1.fastq,NK 5.1
LIB047628_TRA00195792_S44_L002_R2.fastq,NK 5.1
LIB047628_TRA00195792_S44_L002.fastq,NK 5.1
LIB047628_TRA00195793_S45_L002_R1.fastq,NK 6.1
LIB047628_TRA00195793_S45_L002_R2.fastq,NK 6.1
LIB047628_TRA00195793_S45_L002.fastq,NK 6.1
LIB047628_TRA00195794_S46_L002_R1.fastq,NK 6.1
LIB047628_TRA00195794_S46_L002_R2.fastq,NK 6.1
LIB047628_TRA00195794_S46_L002.fastq,NK 6.1
LIB047628_TRA00195795_S47_L002_R1.fastq,NK 6.1
LIB047628_TRA00195795_S47_L002_R2.fastq,NK 6.1
LIB047628_TRA00195795_S47_L002.fastq,NK 6.1
LIB047628_TRA00195796_S48_L002_R1.fastq,NK 6.4
LIB047628_TRA00195796_S48_L002_R2.fastq,NK 6.4
LIB047628_TRA00195796_S48_L002.fastq,NK 6.4
LIB047628_TRA00195797_S49_L002_R1.fastq,NK 6.4
LIB047628_TRA00195797_S49_L002_R2.fastq,NK 6.4
LIB047628_TRA00195797_S49_L002.fastq,NK 6.4
LIB047628_TRA00195798_S50_L002_R1.fastq,NK 6.4
LIB047628_TRA00195798_S50_L002_R2.fastq,NK 6.4
LIB047628_TRA00195798_S50_L002.fastq,NK 6.4
LIB047628_TRA00195799_S51_L002_R1.fastq,NK 5.2
LIB047628_TRA00195799_S51_L002_R2.fastq,NK 5.2
LIB047628_TRA00195799_S51_L002.fastq,NK 5.2
LIB047628_TRA00195800_S52_L002_R1.fastq,NK 5.2
LIB047628_TRA00195800_S52_L002_R2.fastq,NK 5.2
LIB047628_TRA00195800_S52_L002.fastq,NK 5.2
LIB047628_TRA00195801_S53_L002_R1.fastq,NK 5.2
LIB047628_TRA00195801_S53_L002_R2.fastq,NK 5.2
LIB047628_TRA00195801_S53_L002.fastq,NK 5.2
LIB047628_TRA00195802_S54_L002_R1.fastq,NK 5.3
LIB047628_TRA00195802_S54_L002_R2.fastq,NK 5.3
LIB047628_TRA00195802_S54_L002.fastq,NK 5.3
LIB047628_TRA00195803_S55_L002_R1.fastq,NK 5.3
LIB047628_TRA00195803_S55_L002_R2.fastq,NK 5.3
LIB047628_TRA00195803_S55_L002.fastq,NK 5.3
LIB047628_TRA00195804_S56_L002_R1.fastq,NK 5.3
LIB047628_TRA00195804_S56_L002_R2.fastq,NK 5.3
LIB047628_TRA00195804_S56_L002.fastq,NK 5.3
LIB047628_TRA00195805_S57_L002_R1.fastq,Mel H2
LIB047628_TRA00195805_S57_L002_R2.fastq,Mel H2
LIB047628_TRA00195805_S57_L002.fastq,Mel H2
LIB047628_TRA00195806_S58_L002_R1.fastq,Mel H2
LIB047628_TRA00195806_S58_L002_R2.fastq,Mel H2
LIB047628_TRA00195806_S58_L002.fastq,Mel H2
LIB047628_TRA00195807_S59_L002_R1.fastq,Mel 6.1
LIB047628_TRA00195807_S59_L002_R2.fastq,Mel 6.1
LIB047628_TRA00195807_S59_L002.fastq,Mel 6.1
LIB047628_TRA00195808_S60_L002_R1.fastq,Mel 6.1
LIB047628_TRA00195808_S60_L002_R2.fastq,Mel 6.1
LIB047628_TRA00195808_S60_L002.fastq,Mel 6.1
LIB047628_TRA00195809_S61_L002_R1.fastq,Mel 6.1
LIB047628_TRA00195809_S61_L002_R2.fastq,Mel 6.1
LIB047628_TRA00195809_S61_L002.fastq,Mel 6.1
LIB047628_TRA00195810_S62_L002_R1.fastq,Mel H1
LIB047628_TRA00195810_S62_L002_R2.fastq,Mel H1
LIB047628_TRA00195810_S62_L002.fastq,Mel H1
LIB047628_TRA00195811_S63_L002_R1.fastq,Mel H1
LIB047628_TRA00195811_S63_L002_R2.fastq,Mel H1
LIB047628_TRA00195811_S63_L002.fastq,Mel H1
LIB047628_TRA00195812_S64_L002_R1.fastq,Mel H1
LIB047628_TRA00195812_S64_L002_R2.fastq,Mel H1
LIB047628_TRA00195812_S64_L002.fastq,Mel H1
LIB049805_GEN00204114_S1_L001_R1.fastq,Hepatocyte
LIB049805_GEN00204114_S1_L001_R2.fastq,Hepatocyte
LIB049805_GEN00204115_S2_L001_R1.fastq,Hepatocyte
LIB049805_GEN00204115_S2_L001_R2.fastq,Hepatocyte
LIB049805_GEN00204116_S3_L001_R1.fastq,Hepatocyte
LIB049805_GEN00204116_S3_L001_R2.fastq,Hepatocyte
LIB049805_GEN00204117_S4_L001_R1.fastq,MG
LIB049805_GEN00204117_S4_L001_R2.fastq,MG
LIB049805_GEN00204118_S5_L001_R1.fastq,MG
LIB049805_GEN00204118_S5_L001_R2.fastq,MG
LIB049805_GEN00204119_S6_L001_R1.fastq,MG
LIB049805_GEN00204119_S6_L001_R2.fastq,MG
LIB049805_GEN00204120_S7_L001_R1.fastq,Astrocyte
LIB049805_GEN00204120_S7_L001_R2.fastq,Astrocyte
LIB049805_GEN00204121_S8_L001_R1.fastq,Astrocyte
LIB049805_GEN00204121_S8_L001_R2.fastq,Astrocyte
LIB049805_GEN00204122_S9_L001_R1.fastq,Astrocyte
LIB049805_GEN00204122_S9_L001_R2.fastq,Astrocyte
LIB049805_GEN00204123_S10_L001_R1.fastq,T cell
LIB049805_GEN00204123_S10_L001_R2.fastq,T cell
LIB049805_GEN00204124_S11_L001_R1.fastq,T cell
LIB049805_GEN00204124_S11_L001_R2.fastq,T cell
LIB049805_GEN00204125_S12_L001_R1.fastq,T cell
LIB049805_GEN00204125_S12_L001_R2.fastq,T cell
LIB049805_GEN00204126_S13_L001_R1.fastq,T cell
LIB049805_GEN00204126_S13_L001_R2.fastq,T cell
LIB049805_GEN00204127_S14_L001_R1.fastq,T cell
LIB049805_GEN00204127_S14_L001_R2.fastq,T cell
LIB049805_GEN00204128_S15_L001_R1.fastq,T cell
LIB049805_GEN00204128_S15_L001_R2.fastq,T cell
LIB049805_GEN00204129_S16_L001_R1.fastq,B cell
LIB049805_GEN00204129_S16_L001_R2.fastq,B cell
LIB049805_GEN00204130_S17_L001_R1.fastq,B cell
LIB049805_GEN00204130_S17_L001_R2.fastq,B cell
LIB049805_GEN00204131_S18_L001_R1.fastq,B cell
LIB049805_GEN00204131_S18_L001_R2.fastq,B cell
LIB048121_GEN00199169_S1_L001_R1.fastq,B cell
LIB048121_GEN00199169_S1_L001_R2.fastq,B cell
LIB048121_GEN00199170_S2_L001_R1.fastq,B cell
LIB048121_GEN00199170_S2_L001_R2.fastq,B cell
LIB048121_GEN00199171_S3_L001_R1.fastq,B cell
